verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),001,06:00,06:15,1,0,11,,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),002,06:15,06:30,1,0,9,,2,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),003,06:30,06:45,4,0,31,,3,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),004,06:45,07:00,3,0,31,,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),005,07:00,07:15,5,0,26,,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),006,07:15,07:30,15,0,32,,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),007,07:30,07:45,6,0,43,,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),008,07:45,08:00,10,0,39,,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),009,08:00,08:15,0,1,36,,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),010,08:15,08:30,6,0,31,,2,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),011,08:30,08:45,7,1,23,,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),012,08:45,09:00,6,0,24,,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),013,09:00,09:15,3,0,44,,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),014,09:15,09:30,3,1,38,,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),015,09:30,09:45,3,1,49,,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),016,09:45,10:00,3,0,43,,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),017,10:00,10:15,5,1,39,,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),018,10:15,10:30,6,0,36,,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),019,10:30,10:45,8,0,36,,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),020,10:45,11:00,12,0,43,,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),021,11:00,11:15,3,2,52,,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),022,11:15,11:30,4,0,43,,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),023,11:30,11:45,7,0,47,,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),024,11:45,12:00,8,1,42,,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),025,12:00,12:15,7,0,34,,1,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),026,12:15,12:30,5,1,47,,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),027,12:30,12:45,5,1,41,,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),028,12:45,13:00,13,1,35,,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),029,13:00,13:15,4,0,45,,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),030,13:15,13:30,9,0,36,,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),031,13:30,13:45,10,0,49,,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),032,13:45,14:00,5,0,47,,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Jakobstraße (NO),033,14:00,14:15,7,0,46,,0,0,1
