verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,001,06:00,06:15,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,002,06:15,06:30,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,003,06:30,06:45,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,004,06:45,07:00,1,,9,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,005,07:00,07:15,0,,10,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,006,07:15,07:30,1,,11,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,007,07:30,07:45,1,,16,0,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,008,07:45,08:00,0,,14,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,009,08:00,08:15,0,,7,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,010,08:15,08:30,0,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,011,08:30,08:45,1,,8,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,012,08:45,09:00,0,,6,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,013,09:00,09:15,0,,3,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,014,09:15,09:30,0,,8,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,015,09:30,09:45,0,,15,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,016,09:45,10:00,0,,12,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,017,10:00,10:15,0,,14,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,018,10:15,10:30,0,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,019,10:30,10:45,0,,14,2,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,020,10:45,11:00,0,,5,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,021,11:00,11:15,0,,11,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,022,11:15,11:30,1,,12,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,023,11:30,11:45,1,,9,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,024,11:45,12:00,0,,11,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,025,12:00,12:15,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,026,12:15,12:30,0,,8,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,027,12:30,12:45,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,028,12:45,13:00,0,,11,1,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,029,13:00,13:15,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,030,13:15,13:30,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,031,13:30,13:45,0,,13,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,032,13:45,14:00,0,,14,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,033,14:00,14:15,0,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,034,14:15,14:30,0,,5,1,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,035,14:30,14:45,0,,8,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,036,14:45,15:00,0,,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,037,15:00,15:15,0,,7,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,038,15:15,15:30,0,,14,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,039,15:30,15:45,0,,12,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg,040,15:45,16:00,0,,11,1,0,0,0
