verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,001,06:00,06:15,7,,13,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,002,06:15,06:30,3,,22,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,003,06:30,06:45,5,,21,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,004,06:45,07:00,7,,18,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,005,07:00,07:15,6,,21,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,006,07:15,07:30,3,,23,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,007,07:30,07:45,5,,16,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,008,07:45,08:00,7,,14,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,009,08:00,08:15,3,,29,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,010,08:15,08:30,0,,17,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,011,08:30,08:45,4,,26,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,012,08:45,09:00,3,,20,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,013,09:00,09:15,1,,19,0,5,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,014,09:15,09:30,2,,18,4,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,015,09:30,09:45,1,,22,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,016,09:45,10:00,1,,27,0,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,017,10:00,10:15,3,,34,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,018,10:15,10:30,4,,21,0,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,019,10:30,10:45,1,,20,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,020,10:45,11:00,2,,34,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,021,11:00,11:15,2,,28,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,022,11:15,11:30,4,,24,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,023,11:30,11:45,2,,35,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,024,11:45,12:00,2,,30,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,025,12:00,12:15,5,,36,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,026,12:15,12:30,2,,26,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,027,12:30,12:45,3,,32,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,028,12:45,13:00,1,,29,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,029,13:00,13:15,3,,52,1,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,030,13:15,13:30,7,,35,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,031,13:30,13:45,1,,43,3,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,032,13:45,14:00,5,,42,1,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,033,14:00,14:15,1,,32,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,034,14:15,14:30,7,,47,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,035,14:30,14:45,6,,49,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,036,14:45,15:00,2,,52,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,037,15:00,15:15,4,,58,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,038,15:15,15:30,1,,60,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,039,15:30,15:45,1,,48,3,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,040,15:45,16:00,3,,51,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,041,16:00,16:15,4,,48,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,042,16:15,16:30,4,,66,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,043,16:30,16:45,10,,50,4,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,044,16:45,17:00,3,,54,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,045,17:00,17:15,6,,50,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,046,17:15,17:30,2,,36,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,047,17:30,17:45,1,,35,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,048,17:45,18:00,3,,22,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,049,18:00,18:15,4,,34,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,050,18:15,18:30,3,,46,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,051,18:30,18:45,0,,26,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Brückstraße,052,18:45,19:00,1,,33,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,001,06:00,06:15,0,,16,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,002,06:15,06:30,0,,13,2,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,003,06:30,06:45,1,,24,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,004,06:45,07:00,0,,29,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,005,07:00,07:15,1,,28,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,006,07:15,07:30,1,,27,2,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,007,07:30,07:45,0,,34,2,2,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,008,07:45,08:00,3,,37,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,009,08:00,08:15,0,,21,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,010,08:15,08:30,2,,13,2,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,011,08:30,08:45,0,,13,2,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,012,08:45,09:00,2,,8,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,013,09:00,09:15,0,,3,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,014,09:15,09:30,0,,6,0,0,1,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,015,09:30,09:45,1,,6,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,016,09:45,10:00,2,,15,1,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,017,10:00,10:15,3,,17,3,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,018,10:15,10:30,2,,14,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,019,10:30,10:45,2,,7,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,020,10:45,11:00,1,,7,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,021,11:00,11:15,0,,3,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,022,11:15,11:30,1,,4,2,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,023,11:30,11:45,0,,8,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,024,11:45,12:00,0,,6,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,025,12:00,12:15,0,,13,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,026,12:15,12:30,0,,8,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,027,12:30,12:45,1,,11,1,2,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,028,12:45,13:00,0,,8,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,029,13:00,13:15,0,,21,3,3,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,030,13:15,13:30,0,,14,0,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,031,13:30,13:45,1,,16,1,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,032,13:45,14:00,0,,13,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,033,14:00,14:15,0,,8,5,4,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,034,14:15,14:30,1,,19,1,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,035,14:30,14:45,0,,14,2,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,036,14:45,15:00,2,,11,4,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,037,15:00,15:15,0,,13,1,2,1,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,038,15:15,15:30,1,,23,0,1,1,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,039,15:30,15:45,0,,24,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,040,15:45,16:00,0,,16,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,041,16:00,16:15,3,,16,1,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,042,16:15,16:30,3,,12,2,7,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,043,16:30,16:45,0,,19,2,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,044,16:45,17:00,0,,16,2,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,045,17:00,17:15,1,,15,1,2,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,046,17:15,17:30,0,,10,3,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,047,17:30,17:45,0,,13,0,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,048,17:45,18:00,1,,14,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,049,18:00,18:15,2,,18,2,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,050,18:15,18:30,0,,10,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,051,18:30,18:45,1,,11,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brückstraße,052,18:45,19:00,0,,21,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,001,06:00,06:15,1,,6,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,002,06:15,06:30,1,,9,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,003,06:30,06:45,2,,7,1,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,004,06:45,07:00,2,,10,3,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,005,07:00,07:15,3,,11,4,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,006,07:15,07:30,1,,8,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,007,07:30,07:45,5,,22,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,008,07:45,08:00,0,,13,1,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,009,08:00,08:15,0,,7,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,010,08:15,08:30,0,,7,1,1,1,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,011,08:30,08:45,3,,8,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,012,08:45,09:00,1,,9,0,0,1,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,013,09:00,09:15,2,,6,1,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,014,09:15,09:30,2,,12,2,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,015,09:30,09:45,1,,8,2,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,016,09:45,10:00,1,,8,2,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,017,10:00,10:15,0,,7,2,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,018,10:15,10:30,3,,7,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,019,10:30,10:45,0,,5,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,020,10:45,11:00,0,,10,2,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,021,11:00,11:15,1,,3,2,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,022,11:15,11:30,2,,9,2,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,023,11:30,11:45,1,,11,4,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,024,11:45,12:00,1,,17,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,025,12:00,12:15,0,,11,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,026,12:15,12:30,4,,7,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,027,12:30,12:45,3,,9,1,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,028,12:45,13:00,1,,9,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,029,13:00,13:15,3,,14,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,030,13:15,13:30,4,,13,2,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,031,13:30,13:45,2,,11,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,032,13:45,14:00,3,,8,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,033,14:00,14:15,3,,10,0,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,034,14:15,14:30,5,,16,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,035,14:30,14:45,6,,9,2,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,036,14:45,15:00,7,,15,0,1,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,037,15:00,15:15,2,,14,1,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,038,15:15,15:30,4,,14,0,0,0,0
6,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Herrenkrugstraße,039,15:30,15:45,6,,22,0,1,0,0
