verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),019,10:30,10:45,1,,2,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),020,10:45,11:00,2,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),021,11:00,11:15,2,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),022,11:15,11:30,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),023,11:30,11:45,2,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),024,11:45,12:00,3,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),025,12:00,12:15,2,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),026,12:15,12:30,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),027,12:30,12:45,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),028,12:45,13:00,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),029,13:00,13:15,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),030,13:15,13:30,1,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),031,13:30,13:45,1,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),032,13:45,14:00,1,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),033,14:00,14:15,4,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),034,14:15,14:30,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),035,14:30,14:45,2,,4,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),036,14:45,15:00,3,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),037,15:00,15:15,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),038,15:15,15:30,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),039,15:30,15:45,0,,4,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),040,15:45,16:00,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),041,16:00,16:15,3,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),042,16:15,16:30,1,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),043,16:30,16:45,2,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),044,16:45,17:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),045,17:00,17:15,2,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),046,17:15,17:30,1,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),047,17:30,17:45,3,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),048,17:45,18:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),049,18:00,18:15,3,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),050,18:15,18:30,1,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),051,18:30,18:45,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Goethestraße (W),052,18:45,19:00,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),001,06:00,06:15,9,,8,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),002,06:15,06:30,9,,5,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),003,06:30,06:45,20,,11,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),004,06:45,07:00,19,,18,0,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),005,07:00,07:15,24,,22,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),006,07:15,07:30,40,,19,0,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),007,07:30,07:45,40,,21,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),008,07:45,08:00,32,,18,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),009,08:00,08:15,9,,20,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),010,08:15,08:30,6,,13,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),011,08:30,08:45,15,,23,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),012,08:45,09:00,12,,26,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),013,09:00,09:15,15,,17,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),014,09:15,09:30,5,,12,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),015,09:30,09:45,2,,10,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),016,09:45,10:00,8,,6,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),017,10:00,10:15,4,,13,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),018,10:15,10:30,11,,14,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),019,10:30,10:45,6,,19,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),020,10:45,11:00,7,,11,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),021,11:00,11:15,2,,11,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),022,11:15,11:30,6,,18,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),023,11:30,11:45,2,,8,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),024,11:45,12:00,11,,15,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),025,12:00,12:15,2,,11,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),026,12:15,12:30,1,,10,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),027,12:30,12:45,2,,11,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),028,12:45,13:00,2,,6,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),029,13:00,13:15,4,,7,1,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),030,13:15,13:30,8,,7,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),031,13:30,13:45,7,,6,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),032,13:45,14:00,13,,6,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),033,14:00,14:15,7,,12,3,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),034,14:15,14:30,6,,8,1,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),035,14:30,14:45,6,,10,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),036,14:45,15:00,10,,15,3,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),037,15:00,15:15,3,,11,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),038,15:15,15:30,6,,9,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),039,15:30,15:45,8,,14,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),040,15:45,16:00,7,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),041,16:00,16:15,12,,20,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),042,16:15,16:30,16,,19,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),043,16:30,16:45,6,,15,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),044,16:45,17:00,5,,7,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),045,17:00,17:15,13,,20,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),046,17:15,17:30,10,,14,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),047,17:30,17:45,12,,11,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),048,17:45,18:00,6,,16,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),049,18:00,18:15,14,,8,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),050,18:15,18:30,7,,18,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),051,18:30,18:45,6,,5,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße (W),052,18:45,19:00,0,,6,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),001,06:00,06:15,2,,6,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),002,06:15,06:30,2,,4,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),003,06:30,06:45,4,,6,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),004,06:45,07:00,4,,12,1,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),005,07:00,07:15,5,,10,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),006,07:15,07:30,7,,10,1,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),007,07:30,07:45,11,,6,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),008,07:45,08:00,2,,14,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),009,08:00,08:15,6,,9,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),010,08:15,08:30,6,,5,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),011,08:30,08:45,3,,8,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),012,08:45,09:00,2,,8,1,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),013,09:00,09:15,0,,5,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),014,09:15,09:30,2,,6,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),015,09:30,09:45,3,,12,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),016,09:45,10:00,3,,8,1,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),017,10:00,10:15,1,,10,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),018,10:15,10:30,0,,3,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),019,10:30,10:45,0,,10,0,1,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),020,10:45,11:00,0,,8,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),021,11:00,11:15,0,,5,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),022,11:15,11:30,0,,6,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),023,11:30,11:45,0,,2,1,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),024,11:45,12:00,0,,9,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),025,12:00,12:15,1,,3,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),026,12:15,12:30,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),027,12:30,12:45,1,,3,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Goethestraße (W),028,12:45,13:00,0,,3,0,0,0,0
