verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),001,06:00,06:15,0,,0,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),002,06:15,06:30,2,,5,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),003,06:30,06:45,1,,2,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),004,06:45,07:00,1,,3,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),005,07:00,07:15,0,,1,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),006,07:15,07:30,0,,0,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),007,07:30,07:45,0,,4,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),008,07:45,08:00,1,,1,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),009,08:00,08:15,1,,1,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),010,08:15,08:30,0,,7,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),011,08:30,08:45,0,,1,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),012,08:45,09:00,1,,2,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),013,09:00,09:15,0,,3,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),014,09:15,09:30,0,,0,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),015,09:30,09:45,0,,0,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),016,09:45,10:00,0,,0,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),017,10:00,10:15,1,,1,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),018,10:15,10:30,0,,1,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),019,10:30,10:45,0,,6,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),020,10:45,11:00,0,,2,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),021,11:00,11:15,0,,1,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),022,11:15,11:30,0,,3,0,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),023,11:30,11:45,0,,7,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),024,11:45,12:00,1,,8,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),025,12:00,12:15,0,,0,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),026,12:15,12:30,0,,0,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),027,12:30,12:45,1,,4,1,0,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),028,12:45,13:00,0,,2,0,0,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),029,13:00,13:15,3,,1,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),030,13:15,13:30,0,,2,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),031,13:30,13:45,0,,4,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),032,13:45,14:00,2,,2,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),033,14:00,14:15,0,,1,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),034,14:15,14:30,0,,1,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),035,14:30,14:45,2,,1,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),036,14:45,15:00,0,,3,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),037,15:00,15:15,0,,6,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),038,15:15,15:30,0,,5,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),039,15:30,15:45,1,,4,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),040,15:45,16:00,0,,6,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),041,16:00,16:15,1,,2,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),042,16:15,16:30,0,,6,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),043,16:30,16:45,1,,5,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),044,16:45,17:00,2,,14,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),045,17:00,17:15,1,,6,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),046,17:15,17:30,1,,3,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),047,17:30,17:45,2,,3,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),048,17:45,18:00,0,,6,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),049,18:00,18:15,0,,5,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),050,18:15,18:30,0,,5,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),051,18:30,18:45,0,,4,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Prester (N),052,18:45,19:00,0,,6,0,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),001,06:00,06:15,0,,12,0,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),002,06:15,06:30,0,,22,0,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),003,06:30,06:45,0,,24,2,0,1,1
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),004,06:45,07:00,0,,19,0,0,0,2
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),005,07:00,07:15,0,,22,0,0,2,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),006,07:15,07:30,2,,28,0,0,4,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),007,07:30,07:45,0,,21,2,0,0,1
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),008,07:45,08:00,0,,16,2,0,1,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),009,08:00,08:15,0,,21,1,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),010,08:15,08:30,0,,14,1,0,2,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),011,08:30,08:45,0,,17,0,1,0,1
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),012,08:45,09:00,1,,20,0,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),013,09:00,09:15,0,,11,2,0,4,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),014,09:15,09:30,1,,25,1,0,4,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),015,09:30,09:45,1,,26,5,2,0,1
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),016,09:45,10:00,2,,19,1,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),017,10:00,10:15,2,,26,0,1,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),018,10:15,10:30,1,,17,1,2,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),019,10:30,10:45,4,,16,7,1,0,1
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),020,10:45,11:00,0,,21,2,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),021,11:00,11:15,0,,31,4,3,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),022,11:15,11:30,0,,17,3,2,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),023,11:30,11:45,0,,34,6,3,0,1
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),024,11:45,12:00,2,,20,4,2,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),025,12:00,12:15,0,,22,1,2,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),026,12:15,12:30,0,,22,5,1,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),027,12:30,12:45,0,,35,4,2,1,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),028,12:45,13:00,0,,14,2,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),029,13:00,13:15,0,,31,0,2,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),030,13:15,13:30,0,,24,1,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),031,13:30,13:45,2,,28,1,2,0,1
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),032,13:45,14:00,0,,31,0,0,2,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),033,14:00,14:15,0,,30,1,3,2,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),034,14:15,14:30,0,,34,0,2,2,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),035,14:30,14:45,0,,41,2,0,0,1
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),036,14:45,15:00,1,,58,1,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),037,15:00,15:15,1,,55,1,2,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),038,15:15,15:30,0,,49,4,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),039,15:30,15:45,3,,82,2,1,0,1
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),040,15:45,16:00,1,,47,3,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),041,16:00,16:15,0,,65,12,1,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),042,16:15,16:30,0,,68,5,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),043,16:30,16:45,1,,71,5,0,0,1
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),044,16:45,17:00,0,,56,10,1,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),045,17:00,17:15,0,,53,1,1,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),046,17:15,17:30,1,,45,3,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),047,17:30,17:45,0,,42,3,1,0,1
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),048,17:45,18:00,0,,34,3,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),049,18:00,18:15,0,,22,2,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),050,18:15,18:30,1,,34,2,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),051,18:30,18:45,0,,11,1,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Alt Prester (N),052,18:45,19:00,0,,32,0,1,0,1
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,001,06:00,06:15,0,,47,3,0,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,002,06:15,06:30,0,,53,3,0,1,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,003,06:30,06:45,1,,101,2,0,5,1
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,004,06:45,07:00,3,,77,7,2,3,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,005,07:00,07:15,0,,78,3,0,0,1
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,006,07:15,07:30,0,,70,2,0,1,1
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,007,07:30,07:45,0,,64,2,0,0,1
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,008,07:45,08:00,0,,58,2,3,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,009,08:00,08:15,0,,31,2,1,0,1
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,010,08:15,08:30,1,,40,6,0,2,1
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,011,08:30,08:45,1,,28,1,0,3,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,012,08:45,09:00,1,,37,1,1,3,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,013,09:00,09:15,4,,33,5,0,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,014,09:15,09:30,0,,24,0,1,0,1
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,015,09:30,09:45,2,,48,2,0,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,016,09:45,10:00,0,,18,2,4,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,017,10:00,10:15,0,,17,4,1,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,018,10:15,10:30,0,,21,5,0,0,1
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,019,10:30,10:45,0,,25,2,3,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,020,10:45,11:00,0,,20,3,4,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,021,11:00,11:15,0,,19,2,3,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,022,11:15,11:30,0,,21,6,0,0,1
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,023,11:30,11:45,2,,15,1,1,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,024,11:45,12:00,1,,15,2,1,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,025,12:00,12:15,0,,20,3,1,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,026,12:15,12:30,1,,18,2,0,0,1
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,027,12:30,12:45,0,,17,0,2,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,028,12:45,13:00,3,,19,3,1,0,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,029,13:00,13:15,3,,31,1,0,2,0
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,030,13:15,13:30,0,,14,0,1,2,1
8,C,1,1,CR...(7),Zählstrom,,Rechtsabbieger Menzer Straße,031,13:30,13:45,1,,20,0,1,3,0
